stat_date,rank_in_day,biz_hour,time_period_type,trip_cnt,vehicle_cnt,avg_speed_kmh,trip_share_in_day
2015-01-03,1,15,daytime,9658,4994,20.285091474824515,0.0633091450184526
2015-01-03,2,13,daytime,9524,4745,20.202318304527797,0.06243076176804127
2015-01-03,3,10,daytime,9470,4769,19.271945771901198,0.062076786428323275
2015-01-04,1,15,daytime,17645,9310,19.313205527722374,0.07176702662029975
2015-01-04,2,16,daytime,17578,9049,17.846323528434244,0.07149451935004983
2015-01-04,3,17,evening_peak,17404,8708,18.743678604269444,0.07078681390193806
2015-01-05,1,17,evening_peak,17095,8654,19.817345220720348,0.06042899460575339
2015-01-05,2,16,daytime,17051,8808,19.57085208873051,0.06027345931691729
2015-01-05,3,15,daytime,16955,9125,21.107546851319164,0.059934109595820344
2015-01-06,1,8,morning_peak,16706,8634,19.482130872977375,0.06265893525568417
2015-01-06,2,10,daytime,16518,8533,20.77825367353051,0.06195380656969897
2015-01-06,3,9,morning_peak,16444,8578,20.247661076102826,0.0616762559167048
2015-01-07,1,17,evening_peak,15482,8111,18.833732200329894,0.061533936669568086
2015-01-07,2,16,daytime,15446,8141,18.485299258765465,0.061390852977531885
2015-01-07,3,15,daytime,15170,8593,20.2769135427904,0.06029387800525435
