stat_date,time_period_type,trip_cnt,avg_trip_distance_km,avg_trip_duration_min,avg_speed_kmh,avg_unique_road_cnt,avg_road_repeat_ratio,avg_forward_edge_ratio,trip_ratio_in_day
2015-01-03,daytime,65370,8.04533260465202,24.176468563561265,19.848318943710602,22.07573810616491,0.2716358336981057,0.9260989349209193,0.42850681402528956
2015-01-03,morning_peak,23925,9.513538217107666,27.699960292580982,20.65519369079027,24.98884012539185,0.26406720776024334,0.9231717751874792,0.15683074079172485
2015-01-03,evening_peak,23476,9.769257594413231,26.5551563298688,21.487847135804714,25.162847163060146,0.2390506402082776,0.9197559959075869,0.1538875013929585
2015-01-03,night,22616,8.555351708441728,20.51890991628346,23.219785302154087,19.604439334984082,0.28641756032927607,0.9025671317302263,0.1482501163530052
2015-01-03,shoulder,17166,11.258657211922973,27.9781263350033,23.34953857096091,25.87090760806245,0.2578254980021848,0.912776894753732,0.11252482743702188
2015-01-04,daytime,115268,8.13525718201165,24.604525251298423,19.778474930598765,23.355987784988027,0.30775183765464226,0.9203204893341542,0.4688263884652146
2015-01-04,evening_peak,44900,9.418566569729485,26.721623979213067,20.257883962257605,25.81915367483296,0.2996298977926709,0.9177104988825758,0.1826205437943587
2015-01-04,night,30386,8.251485863020816,19.852847254217952,23.213364682262135,19.677845060225103,0.29797849819138694,0.9007309516795801,0.12358814796738048
2015-01-04,shoulder,27916,11.456955808170656,29.73712267755648,22.315167064814286,28.51325404785786,0.29277157075277194,0.9115810877723459,0.1135419844223456
2015-01-04,morning_peak,27395,8.116197752874859,25.453866885684736,19.096338574527376,22.882715824055484,0.2762175458484209,0.9288897323651965,0.1114229353507006
2015-01-05,daytime,113397,8.663501564114922,24.964585629837355,20.686576514127136,24.037655317160066,0.2954437920361634,0.9193884444596049,0.40084625336698554
2015-01-05,morning_peak,47220,8.763838515447844,26.279035366370184,19.897733235605912,24.885027530707326,0.30247328640593946,0.9252184299749301,0.16691764406456128
2015-01-05,evening_peak,45858,9.239580584565884,25.28351069242735,21.23570655191334,24.90965589428235,0.2832753618694012,0.9162995667228782,0.16210311989649834
2015-01-05,night,43371,8.031417868171673,19.297863011382415,22.61805244183525,19.027691314472804,0.3322687478566634,0.897125026756478,0.15331184118433053
2015-01-05,shoulder,33048,11.102808915591106,27.6414296376987,23.21258325065897,26.893034374243523,0.2972605265960256,0.9094389288736909,0.11682114148762433
2015-01-06,daytime,107318,8.79720873939351,25.863918758580418,20.307673988642467,24.420470005031774,0.31102690214528955,0.9190184638989086,0.4025159591625472
2015-01-06,morning_peak,49260,8.090953726155599,25.186762755447287,19.098235097361915,23.11950872919204,0.3216794841873636,0.9262073346982347,0.18475871846612008
2015-01-06,night,41759,7.810900104421591,18.92273042936852,22.231517204724536,18.517205871788118,0.34771477573100407,0.8925497063037837,0.1566248340322109
2015-01-06,evening_peak,38742,10.820787754143826,30.288554626331457,20.026825537934776,28.61184244489185,0.32293153510400524,0.9163903126290269,0.14530901889594852
2015-01-06,shoulder,29539,11.559709375707916,29.46848008847061,22.32895107528985,28.21378516537459,0.31639969827007264,0.9086805430445292,0.11079146944317338
