stat_date,trip_distance_level,trip_duration_level,trip_speed_level,trip_cnt,trip_ratio
2015-01-03,short,short,slow,13920,0.09124697646063991
2015-01-03,extra_long,extra_long,fast,13041,0.08548504454189691
2015-01-03,long,long,fast,10035,0.06578041729759493
2015-01-03,medium,medium,normal,8865,0.05811095160370494
2015-01-03,extra_long,extra_long,normal,8712,0.057108021474503945
2015-01-03,extra_long,extra_long,very_fast,7866,0.05156240781892195
2015-01-03,medium,medium,fast,7857,0.05150341192896895
2015-01-03,short,short,normal,7821,0.05126742836915695
2015-01-03,long,long,normal,7749,0.05079546124953295
2015-01-03,long,medium,very_fast,7022,0.046029904361107286
2015-01-03,short,medium,slow,6942,0.045505496450413956
2015-01-03,medium,short,very_fast,6859,0.04496142324306962
2015-01-03,long,long,very_fast,5918,0.03879307519353929
2015-01-03,short,short,fast,4909,0.03217898041991964
2015-01-03,extra_long,long,very_fast,4518,0.02961593675640597
2015-01-03,medium,long,slow,4471,0.029307847108873637
2015-01-03,medium,medium,very_fast,3755,0.024614396308168307
2015-01-03,medium,medium,slow,3000,0.019665296650999982
2015-01-03,medium,long,normal,2657,0.017416897733902315
2015-01-03,long,extra_long,normal,2428,0.015915780089542652
