devid,active_day_cnt,total_trip_cnt,avg_daily_trip_cnt,total_distance_km,total_duration_min,avg_trip_distance_km,avg_speed_kmh,night_trip_ratio_5d,peak_trip_ratio_5d,road_coverage_cnt_5d,dominant_time_period_5d,driver_activity_level,core_driver_flag,full_attendance_flag,rank_by_total_trip_cnt
300061562,5,294,58.8,1986.841995133005,5148.733333333334,6.757965969840153,23.15336840931367,0.272108843537415,0.2789115646258503,2709,daytime,core,True,True,1
100324697,5,285,57.0,642.3150497271193,4024.8999999999987,2.2537370165863835,9.575120620047,0.35789473684210527,0.24561403508771928,1012,night,core,True,True,2
300039744,5,277,55.4,1489.0287617694685,4538.483333333334,5.375555096640681,19.685370451839955,0.23465703971119134,0.30324909747292417,2190,daytime,core,True,True,3
300024359,5,274,54.8,1651.7922808018834,5122.049999999999,6.0284389810287715,19.34919355494636,0.3029197080291971,0.27007299270072993,2450,daytime,core,True,True,4
300061128,5,274,54.8,1690.914380532225,4480.55,6.171220366905931,22.643394858205692,0.25547445255474455,0.28102189781021897,2412,daytime,core,True,True,5
300020549,5,269,53.8,1817.3476808594778,4452.066666666667,6.755939334050104,24.49218958646217,0.241635687732342,0.3308550185873606,2452,daytime,core,True,True,6
300025513,5,269,53.8,1626.6322463064723,4709.4833333333345,6.046960023444135,20.72370319002898,0.27137546468401486,0.26394052044609667,2442,daytime,core,True,True,7
300061762,5,266,53.2,1547.3166268200098,4140.200000000001,5.816979800075225,22.423795374426494,0.35714285714285715,0.24812030075187969,2138,night,core,True,True,8
300023391,5,264,52.8,1809.3194231221592,4769.3,6.853482663341512,22.76207522850933,0.29924242424242425,0.26136363636363635,2592,daytime,core,True,True,9
300061622,5,264,52.8,1725.9764453574203,4730.3166666666675,6.537789565747804,21.892527291290268,0.2765151515151515,0.2765151515151515,2421,daytime,core,True,True,10
300020504,5,263,52.6,1883.343078881655,4907.033333333334,7.161000299930247,23.028289611421556,0.3193916349809886,0.2585551330798479,2615,night,core,True,True,11
300020729,5,263,52.6,1862.2341422243176,5213.966666666667,7.080738183362424,21.429758891207406,0.2585551330798479,0.24714828897338403,2527,daytime,core,True,True,12
300061708,5,263,52.6,1844.2563715935407,4764.75,7.012381641040079,23.22375408901043,0.2965779467680608,0.29277566539923955,2146,night,core,True,True,13
300019832,5,262,52.4,1183.7726876279758,3117.1166666666663,4.5182163649922735,22.785916875428217,0.21374045801526717,0.31297709923664124,1991,daytime,core,True,True,14
300023606,5,262,52.4,1758.185282591352,4937.9,6.710630849585313,21.36355879128397,0.2595419847328244,0.2900763358778626,2433,daytime,core,True,True,15
300061700,5,261,52.2,1654.8903717942053,4608.6,6.340576137142549,21.545246345452483,0.21839080459770116,0.31800766283524906,2531,daytime,core,True,True,16
300012047,5,258,51.6,1765.6845225237134,4709.016666666666,6.843738459394238,22.497493394181266,0.2596899224806202,0.2751937984496124,2414,daytime,core,True,True,17
300019387,5,258,51.6,1499.4052819400763,4394.4,5.8116483796126985,20.472491561169804,0.22093023255813954,0.313953488372093,2358,daytime,core,True,True,18
300025611,5,258,51.6,1658.2568764563275,4539.75,6.427352234326851,21.916495971667967,0.2558139534883721,0.2751937984496124,2405,daytime,core,True,True,19
300061127,5,258,51.6,1357.3920509062573,3679.850000000001,5.2612094996366565,22.1322942659009,0.15503875968992248,0.3178294573643411,2225,daytime,core,True,True,20
