devid,active_day_cnt,total_trip_cnt,driver_activity_level,road_coverage_cnt_5d,top1_pass_ratio,top3_pass_ratio_sum,core_route_cnt,frequent_route_cnt,route_stability_level
100300208,1,3,low,2,0.9375,1.0,2,0,very_stable
100300863,3,10,low,1,1.0,1.0,1,0,very_stable
100301286,1,2,low,3,0.5,1.0,3,0,very_stable
100302031,3,3,low,3,0.5454545454545454,1.0,3,0,very_stable
100320679,2,2,low,2,0.5714285714285714,1.0,2,0,very_stable
100320760,1,1,low,1,1.0,1.0,1,0,very_stable
100323731,2,15,low,1,1.0,1.0,1,0,very_stable
300019163,1,1,low,3,0.5,1.0,3,0,very_stable
300025464,1,1,low,1,1.0,1.0,1,0,very_stable
300061191,2,3,low,2,0.5,1.0,2,0,very_stable
100000002,2,34,low,7,0.9426934097421203,0.9856733524355301,3,4,very_stable
100305433,5,19,low,8,0.6509433962264151,0.9716981132075472,3,5,very_stable
100308518,5,172,core,49,0.7737691001697793,0.9681663837011886,3,7,very_stable
300017420,3,3,low,5,0.8095238095238095,0.9523809523809524,3,2,very_stable
300021169,1,5,low,5,0.6923076923076923,0.9487179487179488,3,2,very_stable
100322075,5,73,medium,15,0.458994708994709,0.9126984126984128,3,7,very_stable
100321626,2,4,low,4,0.6,0.9,3,1,very_stable
100323323,2,37,low,5,0.42857142857142855,0.8928571428571428,3,2,very_stable
100305443,3,32,low,10,0.828125,0.8875000000000001,3,7,very_stable
100302033,1,2,low,5,0.5,0.8571428571428572,3,2,very_stable
